id,category,question,answer
1,Government Schemes,What government scheme is available for rice farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for rice farmers to provide income support and risk coverage.
2,Government Schemes,What government scheme is available for wheat farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for wheat farmers to provide income support and risk coverage.
3,Government Schemes,What government scheme is available for maize farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for maize farmers to provide income support and risk coverage.
4,Government Schemes,What government scheme is available for millets farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for millets farmers to provide income support and risk coverage.
5,Government Schemes,What government scheme is available for ragi farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for ragi farmers to provide income support and risk coverage.
6,Government Schemes,What government scheme is available for sugarcane farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for sugarcane farmers to provide income support and risk coverage.
7,Government Schemes,What government scheme is available for cotton farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for cotton farmers to provide income support and risk coverage.
8,Government Schemes,What government scheme is available for coffee farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for coffee farmers to provide income support and risk coverage.
9,Government Schemes,What government scheme is available for tea farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for tea farmers to provide income support and risk coverage.
10,Government Schemes,What government scheme is available for areca nut farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for areca nut farmers to provide income support and risk coverage.
11,Government Schemes,What government scheme is available for coconut farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for coconut farmers to provide income support and risk coverage.
12,Government Schemes,What government scheme is available for apple farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for apple farmers to provide income support and risk coverage.
13,Government Schemes,What government scheme is available for banana farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for banana farmers to provide income support and risk coverage.
14,Government Schemes,What government scheme is available for mango farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for mango farmers to provide income support and risk coverage.
15,Government Schemes,What government scheme is available for tomato farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for tomato farmers to provide income support and risk coverage.
16,Government Schemes,What government scheme is available for potato farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for potato farmers to provide income support and risk coverage.
17,Government Schemes,What government scheme is available for chili farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for chili farmers to provide income support and risk coverage.
18,Government Schemes,What government scheme is available for onion farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for onion farmers to provide income support and risk coverage.
19,Government Schemes,What government scheme is available for groundnut farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for groundnut farmers to provide income support and risk coverage.
20,Government Schemes,What government scheme is available for soybean farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for soybean farmers to provide income support and risk coverage.
21,Government Schemes,What government scheme is available for rice farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for rice farmers to provide income support and risk coverage.
22,Government Schemes,What government scheme is available for wheat farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for wheat farmers to provide income support and risk coverage.
23,Government Schemes,What government scheme is available for maize farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for maize farmers to provide income support and risk coverage.
24,Government Schemes,What government scheme is available for millets farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for millets farmers to provide income support and risk coverage.
25,Government Schemes,What government scheme is available for ragi farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for ragi farmers to provide income support and risk coverage.
26,Government Schemes,What government scheme is available for sugarcane farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for sugarcane farmers to provide income support and risk coverage.
27,Government Schemes,What government scheme is available for cotton farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for cotton farmers to provide income support and risk coverage.
28,Government Schemes,What government scheme is available for coffee farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for coffee farmers to provide income support and risk coverage.
29,Government Schemes,What government scheme is available for tea farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for tea farmers to provide income support and risk coverage.
30,Government Schemes,What government scheme is available for areca nut farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for areca nut farmers to provide income support and risk coverage.
31,Government Schemes,What government scheme is available for coconut farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for coconut farmers to provide income support and risk coverage.
32,Government Schemes,What government scheme is available for apple farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for apple farmers to provide income support and risk coverage.
33,Government Schemes,What government scheme is available for banana farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for banana farmers to provide income support and risk coverage.
34,Government Schemes,What government scheme is available for mango farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for mango farmers to provide income support and risk coverage.
35,Government Schemes,What government scheme is available for tomato farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for tomato farmers to provide income support and risk coverage.
36,Government Schemes,What government scheme is available for potato farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for potato farmers to provide income support and risk coverage.
37,Government Schemes,What government scheme is available for chili farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for chili farmers to provide income support and risk coverage.
38,Government Schemes,What government scheme is available for onion farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for onion farmers to provide income support and risk coverage.
39,Government Schemes,What government scheme is available for groundnut farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for groundnut farmers to provide income support and risk coverage.
40,Government Schemes,What government scheme is available for soybean farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for soybean farmers to provide income support and risk coverage.
41,Government Schemes,What government scheme is available for rice farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for rice farmers to provide income support and risk coverage.
42,Government Schemes,What government scheme is available for wheat farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for wheat farmers to provide income support and risk coverage.
43,Government Schemes,What government scheme is available for maize farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for maize farmers to provide income support and risk coverage.
44,Government Schemes,What government scheme is available for millets farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for millets farmers to provide income support and risk coverage.
45,Government Schemes,What government scheme is available for ragi farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for ragi farmers to provide income support and risk coverage.
46,Government Schemes,What government scheme is available for sugarcane farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for sugarcane farmers to provide income support and risk coverage.
47,Government Schemes,What government scheme is available for cotton farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for cotton farmers to provide income support and risk coverage.
48,Government Schemes,What government scheme is available for coffee farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for coffee farmers to provide income support and risk coverage.
49,Government Schemes,What government scheme is available for tea farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for tea farmers to provide income support and risk coverage.
50,Government Schemes,What government scheme is available for areca nut farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for areca nut farmers to provide income support and risk coverage.
51,Government Schemes,What government scheme is available for coconut farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for coconut farmers to provide income support and risk coverage.
52,Government Schemes,What government scheme is available for apple farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for apple farmers to provide income support and risk coverage.
53,Government Schemes,What government scheme is available for banana farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for banana farmers to provide income support and risk coverage.
54,Government Schemes,What government scheme is available for mango farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for mango farmers to provide income support and risk coverage.
55,Government Schemes,What government scheme is available for tomato farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for tomato farmers to provide income support and risk coverage.
56,Government Schemes,What government scheme is available for potato farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for potato farmers to provide income support and risk coverage.
57,Government Schemes,What government scheme is available for chili farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for chili farmers to provide income support and risk coverage.
58,Government Schemes,What government scheme is available for onion farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for onion farmers to provide income support and risk coverage.
59,Government Schemes,What government scheme is available for groundnut farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for groundnut farmers to provide income support and risk coverage.
60,Government Schemes,What government scheme is available for soybean farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for soybean farmers to provide income support and risk coverage.
61,Government Schemes,What government scheme is available for rice farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for rice farmers to provide income support and risk coverage.
62,Government Schemes,What government scheme is available for wheat farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for wheat farmers to provide income support and risk coverage.
63,Government Schemes,What government scheme is available for maize farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for maize farmers to provide income support and risk coverage.
64,Government Schemes,What government scheme is available for millets farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for millets farmers to provide income support and risk coverage.
65,Government Schemes,What government scheme is available for ragi farmers in India?,The Government of India offers schemes like PM-KISAN and crop insurance for ragi farmers to provide income support and risk coverage.
